date,title,body,media,source,type
5/2/2014,Using a CSV,"Tik Tok has the ability to use CSV, comma (or any other) separated values, file.  You can check look at the <a href='./example.csv'>CSV file</a> for this example directly.",,,
7/29/2014,Separate file,"CSV's are separate files from the page so we need a way to get their data on the page for Tik Tok to use.   In this example, we are using <a href='https://jquery.com/' target='_blank'>jQuery</a> to do that.",,,
9/20/2014,CSV options,"As your CSV could actually have any delimiter such as a pipe (|), there are a couple options to handle this. <code>csvDelimiter</code> will change which character separates a field; the default is a comma (,).  And <code>csvQuote</code> which tells Tik Tok which character wraps a field; the default is the double quote ("").",,,
10/8/2014,Some more content,<p>This is an example of some more content from the CSV.</p><p>As well as some media included.</p>,https://placekitten.com/1210/400,More PlaceKitten images,
10/18/2015,tweet1,<p>This is an example of some more content from the CSV.</p><p>As well as some media included.</p>,https://twitter.com/CuteEmergency/status/990764040837312512,,Tweet
11/19/2015,tweet2,<p>This is an example of some more content from the CSV.</p><p>As well as some media included.</p>,"https://twitter.com/amiham_singh/status/989927676088434688?ref_src=twsrc%5Etfw
",,embed
12/20/2015,tweet3,"h1>Hey, what kinda party is this? There's no booze and only one hooker.</h1>
<p>Yeah. Give a little credit to our public schools. Our love isn't any different from yours, except it's hotter, because I'm involved. WINDMILLS DO NOT WORK THAT WAY! GOOD NIGHT! If rubbin' frozen dirt in your crotch is wrong, hey I don't wanna be right.</p>
<p>What are you hacking off? Is it my torso?! 'It is! ' My precious torso! <strong> You know, I was God once.</strong> <em> You are the last hope of the universe.</em> Leela, Bender, we're going grave robbing.</p>
<h2>Oh sure! Blame the wizards!</h2>
<p>I usually try to keep my sadness pent up inside where it can fester quietly as a mental illness. Goodbye, friends. I never thought I'd die like this. But I always really hoped. Kids don't turn rotten just from watching TV.</p>","The landmarked Bradley Park Hotel — a fixture on Palm Beach’s Sunset Avenue since the boom years of the 1920s — has been sold for $15.375 million <a href=""https://t.co/TX4BfXSkUL"">https://t.co/TX4BfXSkUL</a> <a href=""https://t.co/d9nWmXwDGP"">pic.twitter.com/d9nWmXwDGP</a></p>&mdash; The Palm Beach Post (@pbpost) <a href=""https://twitter.com/pbpost/status/991041168510251008?ref_src=twsrc%5Etfw"">April 30, 2018</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",,
1/21/2016,timeline,"<h1>I am Singing Wind, Chief of the Martians.</h1>
<p>No, she'll probably make me do it. What are their names? No. We're on the top. Now that the, uh, garbage ball is in space, Doctor, perhaps you can help me with my sexual inhibitions? Yes! In your face, Gandhi!</p>
<p>No, I'm Santa Claus! <strong> Perhaps, but perhaps your civilization is merely the sewer of an even greater society above you!</strong> <em> Oh, I don't have time for this.</em> I have to go and buy a single piece of fruit with a coupon and then return it, making people wait behind me while I complain.</p>
<h2>I wish! It's a nickel.</h2>
<p>Robot 1-X, save my friends! And Zoidberg! You wouldn't. Ask anyway! Ask her how her day was. Negative, bossy meat creature! Is the Space Pope reptilian!?</p>",https://www.timetoast.com/embed/1757360?mode=list&token=MTc1NzM2MC0wYWM1YTk,,
2/22/2016,timelineIframe ,"<iframe src=""https://www.timetoast.com/embed/1757360?mode=list&token=MTc1NzM2MC0wYWM1YTk"" width=""100%"" frameborder=""0""></iframe>",,,
3/23/2016,timelineIframe ,"<p>It's just like the story of the grasshopper and the octopus. All year long, the grasshopper kept burying acorns for winter, while the octopus mooched off his girlfriend and watched TV. But then the winter came, and the grasshopper died, and the octopus ate all his acorns. Also he got a race car. Is any of this getting through to you? It's a T. It goes ""tuh"".</p>
<p>We're rescuing ya. Bender?! You stole the atom. I haven't felt much of anything since my guinea pig died. You know, I was God once. I guess because my parents keep telling me to be more ladylike. As though!</p>
<p>Ven ve voke up, ve had zese wodies. Are you crazy? I can't swallow that. Oh Leela! You're the only person I could turn to; you're the only person who ever loved me. File not found. But existing is basically all I do!</p>",https://s3.amazonaws.com/s3.timetoast.com/public/uploads/photos/11942926/20180416_MVB_WPB_Trump_3.JPG?1525115541,,
4/24/2016,Tweet emebed in body ,"<blockquote class=""twitter-tweet"" data-lang=""en""><p lang=""en"" dir=""ltr"">The leaked list of questions Mueller wants to ask Trump highlights the risk to the president should he agree to an interview, reports <a href=""https://twitter.com/AdamSerwer?ref_src=twsrc%5Etfw"">@AdamSerwer</a> <a href=""https://t.co/VdPVaqsE6X"">https://t.co/VdPVaqsE6X</a></p>&mdash; The Atlantic (@TheAtlantic) <a href=""https://twitter.com/TheAtlantic/status/991426037534904321?ref_src=twsrc%5Etfw"">May 1, 2018</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",,,
